Ring	FRC	FRCSmoothed	Threshold
74	6.9093811511993408e-01	6.9280725717544556e-01	2.3747014999389648e-01
75	6.8663597106933594e-01	6.8540126085281372e-01	2.3653341829776764e-01
76	6.8558847904205322e-01	6.7831099033355713e-01	2.3382914066314697e-01
77	6.7233908176422119e-01	6.7208355665206909e-01	2.3451077938079834e-01
78	6.3895893096923828e-01	6.6690224409103394e-01	2.3610167205333710e-01
79	6.4915311336517334e-01	6.6253310441970825e-01	2.3554380238056183e-01
80	6.7346251010894775e-01	6.5880155563354492e-01	2.3450547456741333e-01
81	6.6095602512359619e-01	6.5660798549652100e-01	2.3318336904048920e-01
82	6.5954947471618652e-01	6.5606343746185303e-01	2.3360970616340637e-01
83	6.5115040540695190e-01	6.5551102161407471e-01	2.3253642022609711e-01
84	6.4245474338531494e-01	6.5264695882797241e-01	2.3205620050430298e-01
85	6.6036963462829590e-01	6.4745891094207764e-01	2.3212319612503052e-01
86	6.5667688846588135e-01	6.4159977436065674e-01	2.3121178150177002e-01
87	6.4835309982299805e-01	6.3570761680603027e-01	2.3279748857021332e-01
88	6.1798059940338135e-01	6.2929248809814453e-01	2.3122654855251312e-01
89	6.0834419727325439e-01	6.2196117639541626e-01	2.3045313358306885e-01
90	6.1362051963806152e-01	6.1416047811508179e-01	2.3147310316562653e-01
91	6.1495113372802734e-01	6.0703402757644653e-01	2.3094369471073151e-01
92	5.9444624185562134e-01	6.0152161121368408e-01	2.2910627722740173e-01
93	5.9485077857971191e-01	5.9708100557327271e-01	2.2775691747665405e-01
94	5.9745287895202637e-01	5.9219074249267578e-01	2.3008631169795990e-01
95	5.7764387130737305e-01	5.8610594272613525e-01	2.3088449239730835e-01
96	5.9268176555633545e-01	5.7962822914123535e-01	2.2882018983364105e-01
97	5.8156752586364746e-01	5.7368969917297363e-01	2.2714567184448242e-01
98	5.6560707092285156e-01	5.6767976284027100e-01	2.2823153436183929e-01
99	5.4491150379180908e-01	5.6074398756027222e-01	2.2924147546291351e-01
100	5.5163335800170898e-01	5.5300110578536987e-01	2.2779664397239685e-01
101	5.6096863746643066e-01	5.4459816217422485e-01	2.2687253355979919e-01
102	5.4551410675048828e-01	5.3685927391052246e-01	2.2696308791637421e-01
103	5.1381015777587891e-01	5.3081881999969482e-01	2.2726458311080933e-01
104	5.3072011470794678e-01	5.2573221921920776e-01	2.2664347290992737e-01
105	5.0123071670532227e-01	5.2041941881179810e-01	2.2485430538654327e-01
106	5.0257128477096558e-01	5.1479285955429077e-01	2.2610300779342651e-01
107	5.3218966722488403e-01	5.0957542657852173e-01	2.2715470194816589e-01
108	5.1880407333374023e-01	5.0459474325180054e-01	2.2638066112995148e-01
109	4.9861049652099609e-01	4.9881106615066528e-01	2.2530235350131989e-01
110	4.8605072498321533e-01	4.9170699715614319e-01	2.2407357394695282e-01
111	4.8794418573379517e-01	4.8348715901374817e-01	2.2600212693214417e-01
112	4.7485300898551941e-01	4.7531875967979431e-01	2.2432295978069305e-01
