Ring	FRC	FRCSmoothed	Threshold
45	9.3788194656372070e-01	9.3377250432968140e-01	2.5641646981239319e-01
46	9.3288606405258179e-01	9.2956697940826416e-01	2.5469166040420532e-01
47	9.2915642261505127e-01	9.2486530542373657e-01	2.5094398856163025e-01
48	9.2232239246368408e-01	9.1948372125625610e-01	2.4985763430595398e-01
49	9.1007471084594727e-01	9.1313380002975464e-01	2.5242474675178528e-01
50	9.0686720609664917e-01	9.0586566925048828e-01	2.5154516100883484e-01
51	9.0215921401977539e-01	8.9846813678741455e-01	2.4808521568775177e-01
52	8.9338308572769165e-01	8.9179456233978271e-01	2.4689078330993652e-01
53	8.8040548563003540e-01	8.8604485988616943e-01	2.4830764532089233e-01
54	8.6875820159912109e-01	8.8066810369491577e-01	2.4758864939212799e-01
55	8.7280780076980591e-01	8.7527173757553101e-01	2.4506650865077972e-01
56	8.7710082530975342e-01	8.7004101276397705e-01	2.4663913249969482e-01
57	8.7433797121047974e-01	8.6534535884857178e-01	2.4565941095352173e-01
58	8.5817497968673706e-01	8.6103111505508423e-01	2.4440306425094604e-01
59	8.5532712936401367e-01	8.5641759634017944e-01	2.4407146871089935e-01
60	8.4681051969528198e-01	8.5119628906250000e-01	2.4318945407867432e-01
61	8.4582221508026123e-01	8.4569042921066284e-01	2.4482262134552002e-01
62	8.4337067604064941e-01	8.4026700258255005e-01	2.4241995811462402e-01
63	8.3454072475433350e-01	8.3493804931640625e-01	2.3915679752826691e-01
64	8.3186769485473633e-01	8.3001631498336792e-01	2.4043571949005127e-01
65	8.2598793506622314e-01	8.2702982425689697e-01	2.4129186570644379e-01
66	8.1670272350311279e-01	8.2687073945999146e-01	2.4146366119384766e-01
67	8.0846309661865234e-01	8.2842981815338135e-01	2.4079999327659607e-01
68	8.0855703353881836e-01	8.2934242486953735e-01	2.3970976471900940e-01
69	8.4614670276641846e-01	8.2784157991409302e-01	2.3831412196159363e-01
70	8.6803370714187622e-01	8.2411795854568481e-01	2.3721557855606079e-01
71	8.4719884395599365e-01	8.1869953870773315e-01	2.3750516772270203e-01
72	8.1329250335693359e-01	8.1117963790893555e-01	2.3698839545249939e-01
73	7.7785962820053101e-01	8.0110979080200195e-01	2.3693658411502838e-01
74	7.7524435520172119e-01	7.8945583105087280e-01	2.3747014999389648e-01
75	7.7212262153625488e-01	7.7856725454330444e-01	2.3653341829776764e-01
76	7.6512652635574341e-01	7.6999247074127197e-01	2.3382914066314697e-01
77	7.6370704174041748e-01	7.6326370239257812e-01	2.3451077938079834e-01
78	7.6804268360137939e-01	7.5701022148132324e-01	2.3610167205333710e-01
79	7.5718867778778076e-01	7.5018841028213501e-01	2.3554380238056183e-01
80	7.4524801969528198e-01	7.4273419380187988e-01	2.3450547456741333e-01
81	7.3097383975982666e-01	7.3466706275939941e-01	2.3318336904048920e-01
82	7.2298836708068848e-01	7.2602915763854980e-01	2.3360970616340637e-01
83	7.1292507648468018e-01	7.1750497817993164e-01	2.3253642022609711e-01
84	7.1051192283630371e-01	7.0969593524932861e-01	2.3205620050430298e-01
85	7.0275151729583740e-01	7.0301300287246704e-01	2.3212319612503052e-01
86	6.8956583738327026e-01	6.9754260778427124e-01	2.3121178150177002e-01
87	6.9593906402587891e-01	6.9261580705642700e-01	2.3279748857021332e-01
88	6.8078976869583130e-01	6.8741822242736816e-01	2.3122654855251312e-01
89	6.8358397483825684e-01	6.8183052539825439e-01	2.3045313358306885e-01
90	6.8919539451599121e-01	6.7618447542190552e-01	2.3147310316562653e-01
91	6.7597496509552002e-01	6.7033874988555908e-01	2.3094369471073151e-01
92	6.5401887893676758e-01	6.6385668516159058e-01	2.2910627722740173e-01
93	6.5505754947662354e-01	6.5646833181381226e-01	2.2775691747665405e-01
94	6.5487241744995117e-01	6.4841282367706299e-01	2.3008631169795990e-01
95	6.3974463939666748e-01	6.4061856269836426e-01	2.3088449239730835e-01
96	6.3480234146118164e-01	6.3320893049240112e-01	2.2882018983364105e-01
97	6.2002849578857422e-01	6.2544023990631104e-01	2.2714567184448242e-01
98	6.1548960208892822e-01	6.1749541759490967e-01	2.2823153436183929e-01
99	6.1985874176025391e-01	6.1015832424163818e-01	2.2924147546291351e-01
100	6.0296332836151123e-01	6.0356611013412476e-01	2.2779664397239685e-01
101	5.7750749588012695e-01	5.9721559286117554e-01	2.2687253355979919e-01
102	5.9586495161056519e-01	5.9059631824493408e-01	2.2696308791637421e-01
103	5.9458500146865845e-01	5.8431613445281982e-01	2.2726458311080933e-01
104	5.7430273294448853e-01	5.7890874147415161e-01	2.2664347290992737e-01
105	5.7759857177734375e-01	5.7426154613494873e-01	2.2485430538654327e-01
