Ring	FRC	FRCSmoothed	Threshold
46	9.6962374448776245e-01	9.6966898441314697e-01	2.5465306639671326e-01
47	9.6487939357757568e-01	9.6763956546783447e-01	2.5239288806915283e-01
48	9.6603131294250488e-01	9.6550077199935913e-01	2.5037997961044312e-01
49	9.6182346343994141e-01	9.6328365802764893e-01	2.5015178322792053e-01
50	9.5922350883483887e-01	9.6098691225051880e-01	2.5184014439582825e-01
51	9.5861274003982544e-01	9.5873963832855225e-01	2.5019651651382446e-01
52	9.5567286014556885e-01	9.5659542083740234e-01	2.4783851206302643e-01
53	9.5779561996459961e-01	9.5443528890609741e-01	2.4608345329761505e-01
54	9.5416569709777832e-01	9.5224493741989136e-01	2.4645717442035675e-01
55	9.5001244544982910e-01	9.5006698369979858e-01	2.4677732586860657e-01
56	9.4627535343170166e-01	9.4784992933273315e-01	2.4580065906047821e-01
57	9.4506180286407471e-01	9.4555062055587769e-01	2.4642972648143768e-01
58	9.4195187091827393e-01	9.4322043657302856e-01	2.4419014155864716e-01
59	9.4085192680358887e-01	9.4094902276992798e-01	2.4288469552993774e-01
60	9.3934524059295654e-01	9.3883270025253296e-01	2.4260200560092926e-01
61	9.3707478046417236e-01	9.3683719635009766e-01	2.4274694919586182e-01
62	9.3393230438232422e-01	9.3487018346786499e-01	2.4253287911415100e-01
63	9.3308877944946289e-01	9.3286895751953125e-01	2.4214279651641846e-01
64	9.3109703063964844e-01	9.3082499504089355e-01	2.4130673706531525e-01
65	9.2962920665740967e-01	9.2874580621719360e-01	2.3945941030979156e-01
66	9.2663216590881348e-01	9.2667299509048462e-01	2.4023213982582092e-01
67	9.2457020282745361e-01	9.2461115121841431e-01	2.3993925750255585e-01
68	9.2218506336212158e-01	9.2251414060592651e-01	2.3948040604591370e-01
69	9.2020332813262939e-01	9.2035210132598877e-01	2.3901408910751343e-01
70	9.1776466369628906e-01	9.1822987794876099e-01	2.3750388622283936e-01
71	9.1688680648803711e-01	9.1641533374786377e-01	2.3800478875637054e-01
72	9.1450798511505127e-01	9.1513276100158691e-01	2.3650804162025452e-01
73	9.1119670867919922e-01	9.1455048322677612e-01	2.3628354072570801e-01
74	9.0886557102203369e-01	9.1471922397613525e-01	2.3779158294200897e-01
75	9.0720951557159424e-01	9.1562837362289429e-01	2.3616735637187958e-01
76	9.1688084602355957e-01	9.1661328077316284e-01	2.3519372940063477e-01
77	9.1559803485870361e-01	9.1680467128753662e-01	2.3486691713333130e-01
78	9.2583107948303223e-01	9.1591596603393555e-01	2.3433722555637360e-01
79	9.2217838764190674e-01	9.1432726383209229e-01	2.3447436094284058e-01
80	9.3971216678619385e-01	9.1223675012588501e-01	2.3477323353290558e-01
81	9.1109549999237061e-01	9.0967810153961182e-01	2.3349696397781372e-01
82	8.8832938671112061e-01	9.0653884410858154e-01	2.3254393041133881e-01
83	8.8524788618087769e-01	9.0328449010848999e-01	2.3333203792572021e-01
84	9.0604221820831299e-01	9.0114885568618774e-01	2.3244972527027130e-01
85	8.9284944534301758e-01	9.0067636966705322e-01	2.3237217962741852e-01
86	8.9565694332122803e-01	9.0108603239059448e-01	2.3170074820518494e-01
87	8.9089226722717285e-01	9.0115797519683838e-01	2.3085370659828186e-01
88	8.9610326290130615e-01	8.9959901571273804e-01	2.3126460611820221e-01
89	9.4233560562133789e-01	8.9607274532318115e-01	2.3108908534049988e-01
90	9.2346489429473877e-01	8.9133858680725098e-01	2.3136514425277710e-01
91	8.8514208793640137e-01	8.8607341051101685e-01	2.3055812716484070e-01
92	8.6636984348297119e-01	8.8058590888977051e-01	2.2900505363941193e-01
93	8.5678029060363770e-01	8.7479233741760254e-01	2.2896458208560944e-01
94	8.4933471679687500e-01	8.6826246976852417e-01	2.2891639173030853e-01
95	8.5637491941452026e-01	8.6130648851394653e-01	2.2990599274635315e-01
96	8.4765470027923584e-01	8.5492300987243652e-01	2.2871366143226624e-01
97	8.7830078601837158e-01	8.4917783737182617e-01	2.2784596681594849e-01
98	8.7385416030883789e-01	8.4373015165328979e-01	2.2826737165451050e-01
99	8.3514976501464844e-01	8.3848053216934204e-01	2.2765085101127625e-01
100	8.1624042987823486e-01	8.3295905590057373e-01	2.2716280817985535e-01
101	8.1583064794540405e-01	8.2663184404373169e-01	2.2705039381980896e-01
102	8.0942034721374512e-01	8.1969457864761353e-01	2.2753624618053436e-01
103	8.0477309226989746e-01	8.1290805339813232e-01	2.2683389484882355e-01
104	8.2295572757720947e-01	8.0710154771804810e-01	2.2654284536838531e-01
105	8.1178945302963257e-01	8.0227667093276978e-01	2.2609317302703857e-01
106	7.9371500015258789e-01	7.9784274101257324e-01	2.2601075470447540e-01
107	7.9247069358825684e-01	7.9346078634262085e-01	2.2589686512947083e-01
108	7.9073143005371094e-01	7.8927111625671387e-01	2.2483822703361511e-01
109	7.7566468715667725e-01	7.8533011674880981e-01	2.2523957490921021e-01
110	7.6979935169219971e-01	7.8164839744567871e-01	2.2505426406860352e-01
111	7.7939796447753906e-01	7.7833664417266846e-01	2.2505609691143036e-01
112	7.7466821670532227e-01	7.7524173259735107e-01	2.2497883439064026e-01
113	7.8278535604476929e-01	7.7208465337753296e-01	2.2426916658878326e-01
114	7.7668917179107666e-01	7.6880294084548950e-01	2.2468420863151550e-01
115	7.6686632633209229e-01	7.6538795232772827e-01	2.2347566485404968e-01
116	7.5869750976562500e-01	7.6179784536361694e-01	2.2271612286567688e-01
117	7.5747597217559814e-01	7.5826102495193481e-01	2.2348812222480774e-01
118	7.4929797649383545e-01	7.5519698858261108e-01	2.2351253032684326e-01
119	7.4138426780700684e-01	7.5302106142044067e-01	2.2369463741779327e-01
120	7.4558198451995850e-01	7.5259286165237427e-01	2.2305975854396820e-01
121	7.5055944919586182e-01	7.5332748889923096e-01	2.2243142127990723e-01
122	7.5087028741836548e-01	7.5411331653594971e-01	2.2209291160106659e-01
123	7.5836956501007080e-01	7.5436776876449585e-01	2.2227314114570618e-01
124	7.4349606037139893e-01	7.5449234247207642e-01	2.2176557779312134e-01
125	8.0454552173614502e-01	7.5554859638214111e-01	2.2115260362625122e-01
126	7.4985301494598389e-01	7.5771176815032959e-01	2.2188188135623932e-01
127	7.3712885379791260e-01	7.6015287637710571e-01	2.2180682420730591e-01
128	7.3547375202178955e-01	7.6378256082534790e-01	2.2142997384071350e-01
129	7.4848908185958862e-01	7.6885306835174561e-01	2.2112244367599487e-01
130	7.9559016227722168e-01	7.7336513996124268e-01	2.2083070874214172e-01
131	7.9428654909133911e-01	7.7567785978317261e-01	2.2048440575599670e-01
132	7.3512876033782959e-01	7.7518415451049805e-01	2.2026190161705017e-01
133	8.4692406654357910e-01	7.7114307880401611e-01	2.2046783566474915e-01
134	8.5333335399627686e-01	7.6420086622238159e-01	2.2014679014682770e-01
